token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PST203	0	0	0	allora	allora	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	Begin=2.108	_	_	_	_
0-1	PST203	0	0	1	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
0-2	PST203	0	0	2	adesso	adesso	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-3	PST203	0	0	3	io	io	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-4	PST203	0	0	4	mi	mi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-5	PST203	0	0	5	preparo	preparo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-6	PST203	0	0	6	poi	poi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-7	PST203	0	0	7	quando	quando	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-8	PST203	0	0	8	volete	volete	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-9	PST203	0	0	9	cominciamo	cominciamo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-10	PST203	0	0	10	eh	eh	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-11	PST203	0	0	11	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-12	PST203	0	0	12	c'	c'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
0-13	PST203	0	0	13	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-14	PST203	0	0	14	fretta	fretta	_	_	_	_	_	linguistic	_	none	_	End=6.91	_	_	_	_
1-0	PST097	1	1	0	av~	av~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	Begin=6.988	_	_	_	_
1-1	PST097	1	1	1	avete	avete	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
1-2	PST097	1	1	2	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
1-3	PST097	1	1	3	tanto	tanto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-4	PST097	1	1	4	materiale?	materiale	_	_	_	_	_	linguistic	_	none	Intonation=Rising	_	_	_	_	_
1-5	PST097	1	1	5	eh	eh	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-6	PST097	1	1	6	eh	eh	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-7	PST097	1	1	7	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-8	PST097	1	1	8	solo	solo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-9	PST097	1	1	9	parlo	parlo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-10	PST097	1	1	10	della	della	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-11	PST097	1	1	11	comunità	comunità	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-12	PST097	1	1	12	latina	latina	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-13	PST097	1	1	13	o	o	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-14	PST097	1	1	14	(quella)	quella	_	_	_	_	_	linguistic	_	none	_	_	_	_	0-6(0)	_
1-15	PST097	1	1	15	italiana	italiana	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-16	PST097	1	1	16	alla	alla	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-17	PST097	1	1	17	fine	fine	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-18	PST097	1	1	18	adesso	adesso	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-19	PST097	1	1	19	come	come	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-20	PST097	1	1	20	va::	va	_	_	_	_	_	linguistic	_	none	_	_	1x2	_	_	_
1-21	PST097	1	1	21	almeno	almeno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-22	PST097	1	1	22	io	io	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-23	PST097	1	1	23	quando	quando	_	_	_	_	_	linguistic	_	none	_	End=15.342	_	_	_	_
2-0	PST097	2	2	0	poco	poco	_	_	_	_	_	linguistic	_	some	_	Begin=16.323	_	_	_	_
2-1	PST097	2	2	1	vado	vado	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
2-2	PST097	2	2	2	a	a	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
2-3	PST097	2	2	3	porta	porta	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
2-4	PST097	2	2	4	pala:[:z]zo	palazzo	_	_	_	_	_	linguistic	_	some	_	_	3x2	_	_	4-5(0)
2-5	PST097	2	2	5	quando	quando	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
2-6	PST097	2	2	6	vado	vado	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
2-7	PST097	2	2	7	por~	por~	_	_	_	_	_	linguistic	_	some	Interrupted=Yes|PauseAfter=Yes	_	_	_	_	_
2-8	PST097	2	2	8	(.)	(.)	_	_	_	_	_	shortpause	_	some	_	_	_	_	_	_
2-9	PST097	2	2	9	~ta	~ta	_	_	_	_	_	linguistic	_	some	Interrupted=Yes	_	_	_	_	_
2-10	PST097	2	2	10	susa	susa	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
2-11	PST097	2	2	11	no	no	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
2-12	PST097	2	2	12	#perdòn	perdòn	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
2-13	PST097	2	2	13	porta	porta	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
2-14	PST097	2	2	14	nuova	nuova	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
2-15	PST097	2	2	15	che	che	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
2-16	PST097	2	2	16	è	è	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
2-17	PST097	2	2	17	più	più	_	_	_	_	_	linguistic	_	some	_	End=23.094	_	_	_	_
3-0	PST203	3	3	0	[mh	mh	_	_	_	_	_	linguistic	_	none	_	Begin=18.227	_	_	_	0-2(0)
3-1	PST203	3	3	1	mh]	mh	_	_	_	_	_	linguistic	_	none	_	End=18.54	_	_	_	0-2(0)
4-0	PST097	4	4	0	#casi	casi	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	Begin=23.876	_	_	_	_
4-1	PST097	4	4	1	non	non	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
4-2	PST097	4	4	2	mi	mi	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
4-3	PST097	4	4	3	sembra	sembra	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
4-4	PST097	4	4	4	di	di	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
4-5	PST097	4	4	5	essere	essere	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
4-6	PST097	4	4	6	a	a	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
4-7	PST097	4	4	7	torino	torino	_	_	_	_	_	linguistic	_	some	PauseAfter=Yes	_	_	_	_	_
4-8	PST097	4	4	8	(.)	(.)	_	_	_	_	_	shortpause	_	some	_	_	_	_	_	_
4-9	PST097	4	4	9	[qua	qua	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	0-3(1)
4-10	PST097	4	4	10	a	a	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	0-1(1)
4-11	PST097	4	4	11	to]rino	torino	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	0-2(1)
4-12	PST097	4	4	12	che	che	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
4-13	PST097	4	4	13	ho	ho	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
4-14	PST097	4	4	14	conosciuto	conosciuto	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
4-15	PST097	4	4	15	io	io	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
4-16	PST097	4	4	16	eh	eh	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
4-17	PST097	4	4	17	nel	nel	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
4-18	PST097	4	4	18	novantadue	novantadue	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
4-19	PST097	4	4	19	mio	mio	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
4-20	PST097	4	4	20	marito	marito	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
4-21	PST097	4	4	21	dieci	dieci	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
4-22	PST097	4	4	22	anni	anni	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
4-23	PST097	4	4	23	prima	prima	_	_	_	_	_	linguistic	_	some	_	End=30.245	_	_	_	_
5-0	PST211	5	5	0	[mh]	mh	_	_	_	_	_	linguistic	_	none	_	Begin=26.071|End=26.391	_	_	_	0-2(1)
6-0	PST211	6	6	0	ah	ah	_	_	_	_	_	linguistic	_	none	_	Begin=30.384	_	_	_	_
6-1	PST211	6	6	1	ah	ah	_	_	_	_	_	linguistic	_	none	_	End=30.771	_	_	_	_
7-0	PST097	7	7	0	eh	eh	_	_	_	_	_	linguistic	_	none	_	Begin=31.755	_	_	_	_
7-1	PST097	7	7	1	due	due	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-2	PST097	7	7	2	migrazioni	migrazioni	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-3	PST097	7	7	3	molto	molto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-4	PST097	7	7	4	diverse	diverse	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-5	PST097	7	7	5	molto	molto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-6	PST097	7	7	6	dive~	dive~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
7-7	PST097	7	7	7	lui	lui	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-8	PST097	7	7	8	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-9	PST097	7	7	9	venuto	venuto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-10	PST097	7	7	10	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-11	PST097	7	7	11	studiare	studiare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-12	PST097	7	7	12	qua	qua	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-13	PST097	7	7	13	°per	per	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-14	PST097	7	7	14	inse~	inse~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	End=36.311	_	_	_	_
8-0	PST097	8	8	0	pensi	pensi	_	_	_	_	_	linguistic	_	some	_	Begin=36.39	_	_	_	_
8-1	PST097	8	8	1	come	come	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-2	PST097	8	8	2	stava	stava	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-3	PST097	8	8	3	bene	bene	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-4	PST097	8	8	4	#el	el	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
8-5	PST097	8	8	5	perù	perù	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-6	PST097	8	8	6	che	che	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-7	PST097	8	8	7	a	a	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-8	PST097	8	8	8	lui	lui	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-9	PST097	8	8	9	le	le	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-10	PST097	8	8	10	mandavano	mandavano	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-11	PST097	8	8	11	i	i	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-12	PST097	8	8	12	soldi	soldi	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-13	PST097	8	8	13	per	per	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-14	PST097	8	8	14	vivere	vivere	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-15	PST097	8	8	15	[qua]	qua	_	_	_	_	_	linguistic	_	some	PauseAfter=Yes	_	_	_	_	0-3(2)
8-16	PST097	8	8	16	(.)	(.)	_	_	_	_	_	shortpause	_	some	_	_	_	_	_	_
8-17	PST097	8	8	17	per	per	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-18	PST097	8	8	18	$estare	estare	_	_	_	_	_	linguistic	_	some	Orthography=Yes|Variation=Emerging	_	_	_	_	_
8-19	PST097	8	8	19	qua	qua	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-20	PST097	8	8	20	che	che	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-21	PST097	8	8	21	la	la	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-22	PST097	8	8	22	sua	sua	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-23	PST097	8	8	23	famiglia	famiglia	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-24	PST097	8	8	24	essendo	essendo	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
8-25	PST097	8	8	25	cattolica	cattolica	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
